MxForce	Drift	Press	TOTEN   	Filename

1.816	0.653	-284.75	-69.658876	ganSlabCutoff200/OUTCAR

1.936	0.102	-146.83	-68.645466	ganSlabCutoff250/OUTCAR

1.999	0.001	-58.88	-68.623926	ganSlabCutoff300/OUTCAR

2.019	0.018	-12.96	-68.459162	ganSlabCutoff350/OUTCAR

2.007	0.014	14.03	-68.534800	ganSlabCutoff400/OUTCAR

2.006	0.031	25.27	-68.535592	ganSlabCutoff450/OUTCAR

2.009	0.033	28.20	-68.509520	ganSlabCutoff500/OUTCAR

2.020	0.039	28.20	-68.515770	ganSlabCutoff550/OUTCAR

2.008	0.049	27.76	-68.533388	ganSlabCutoff600/OUTCAR

2.008	0.004	27.98	-68.529301	ganSlabCutoff650/OUTCAR

2.009	0.001	27.94	-68.537827	ganSlabCutoff700/OUTCAR

2.013	0.022	28.31	-68.545067	ganSlabCutoff750/OUTCAR

2.011	0.015	28.31	-68.547934	ganSlabCutoff800/OUTCAR
