MxForce	Drift	Press	TOTEN   	Filename

0.146	0.111	113.79	-72.495229	ganSlabVac0/OUTCAR

2.008	0.049	27.76	-68.533388	ganSlabVac10/OUTCAR

2.014	0.034	25.07	-68.533410	ganSlabVac12/OUTCAR

2.015	0.045	23.13	-68.533772	ganSlabVac14/OUTCAR

2.011	0.065	21.25	-68.537131	ganSlabVac16/OUTCAR

2.009	0.029	19.74	-68.533170	ganSlabVac18/OUTCAR

2.008	0.020	18.35	-68.532749	ganSlabVac20/OUTCAR

2.006	0.004	17.27	-68.532660	ganSlabVac22/OUTCAR

1.847	0.053	42.55	-68.897933	ganSlabVac2/OUTCAR

2.004	0.010	39.39	-68.564937	ganSlabVac4/OUTCAR

2.015	0.012	34.83	-68.536361	ganSlabVac6/OUTCAR

2.016	0.034	30.93	-68.533525	ganSlabVac8/OUTCAR
