Total energy (eV)	F	E0

cotGaN200/OUTCAR	-24.56785700	-24.56785700

cotGaN250/OUTCAR	-24.21634869	-24.21634869

cotGaN300/OUTCAR	-24.28690188	-24.28690188

cotGaN350/OUTCAR	-24.23094718	-24.23094718

cotGaN400/OUTCAR	-24.25726280	-24.25726280

cotGaN450/OUTCAR	-24.26032576	-24.26032576

cotGaN500/OUTCAR	-24.25137074	-24.25137074

cotGaN550/OUTCAR	-24.25369999	-24.25369999

cotGaN600/OUTCAR	-24.26164372	-24.26164372

cotGaN650/OUTCAR	-24.25785706	-24.25785706

cotGaN700/OUTCAR	-24.26088448	-24.26088448

cotGaN750/OUTCAR	-24.26364727	-24.26364727

cotGaN800/OUTCAR	-24.26409840	-24.26409840
