MxForce	Drift	Press	TOTEN   	Filename

0.070	0.215	-533.08	-24.567857	cotGaN200/OUTCAR

0.134	0.091	-251.86	-24.216349	cotGaN250/OUTCAR

0.140	0.013	-65.69	-24.286902	cotGaN300/OUTCAR

0.132	0.041	27.85	-24.230947	cotGaN350/OUTCAR

0.132	0.017	82.31	-24.257263	cotGaN400/OUTCAR

0.126	0.034	107.04	-24.260326	cotGaN450/OUTCAR

0.130	0.017	111.34	-24.251371	cotGaN500/OUTCAR

0.146	0.050	111.90	-24.253700	cotGaN550/OUTCAR

0.143	0.037	112.56	-24.261644	cotGaN600/OUTCAR

0.136	0.015	114.57	-24.257857	cotGaN650/OUTCAR

0.128	0.028	111.81	-24.260884	cotGaN700/OUTCAR

0.138	0.005	112.81	-24.263647	cotGaN750/OUTCAR

0.134	0.004	111.82	-24.264098	cotGaN800/OUTCAR
